"","P_CODE","REEF","SITE_NO","TRANSECT_NO","LATITUDE","LONGITUDE","REPORT_YEAR","DATE","fYEAR","fDEPTH","REEF_ZONE","fGROUP","GROUP_DESC","COUNT","TOTAL","PERC_COVER","ZONE_DEPTH","tier4","tier5"
"59","1","Agincourt Reef No.1 Site 1","201","5",-16.0383833333333,145.868766666667,2014,NA,"2014","9","_","HARD CORAL","HARD CORAL",334,2600,0.128461538461538,"_.9",1819,10614
"60","1","Agincourt Reef No.1 Site 1","201","5",-16.0383833333333,145.868766666667,2015,NA,"2015","9","_","HARD CORAL","HARD CORAL",1121,5150,0.217669902912621,"_.9",1819,10614
"61","1","Agincourt Reef No.1 Site 1","201","5",-16.0383833333333,145.868766666667,2016,NA,"2016","9","_","HARD CORAL","HARD CORAL",315,2750,0.114545454545455,"_.9",1819,10614
"62","1","Agincourt Reef No.1 Site 1","201","5",-16.0383833333333,145.868766666667,2017,NA,"2017","9","_","HARD CORAL","HARD CORAL",352,4500,0.0782222222222222,"_.9",1819,10614
"63","1","Agincourt Reef No.1 Site 1","201","5",-16.0383833333333,145.868766666667,2019,NA,"2019","9","_","HARD CORAL","HARD CORAL",476,3699,0.128683427953501,"_.9",1819,10614
"64","1","Agincourt Reef No.1 Site 1","201","5",-16.0383833333333,145.868766666667,2020,NA,"2020","7","_","HARD CORAL","HARD CORAL",405,2560,0.158203125,"_.7",1819,10614
"65","1","Agincourt Reef No.1 Site 1","201","5",-16.0383833333333,145.868766666667,2020,NA,"2020","9","_","HARD CORAL","HARD CORAL",497,3350,0.148358208955224,"_.9",1819,10614
"66","1","Agincourt Reef No.1 Site 2","290","1",-16.0418166666667,145.87015,2007,NA,"2007","9","_","HARD CORAL","HARD CORAL",658,2550,0.258039215686275,"_.9",1819,10614
"67","1","Agincourt Reef No.1 Site 2","290","1",-16.0418166666667,145.87015,2008,NA,"2008","9","_","HARD CORAL","HARD CORAL",702,2500,0.2808,"_.9",1819,10614
"68","1","Agincourt Reef No.1 Site 2","290","1",-16.0418166666667,145.87015,2009,NA,"2009","9","_","HARD CORAL","HARD CORAL",1579,5200,0.303653846153846,"_.9",1819,10614
